T_c_K,P_c_torr,Isp_equilibrium_s,Isp_frozen_s,frozen_penalty_pct
3000,1,299.99,268.88,10.37
3000,3,325.02,288.69,11.18
3000,10,345.38,306.67,11.21
3000,30,359.02,320.57,10.71
3000,100,369.99,333.74,9.80
3000,300,377.30,344.26,8.76
3000,1000,383.13,354.39,7.50
4000,1,326.88,286.12,12.47
4000,3,358.73,307.38,14.31
4000,10,388.49,327.03,15.82
4000,30,410.66,342.69,16.55
4000,100,429.07,358.12,16.54
4000,300,441.39,371.09,15.93
4000,1000,451.21,384.41,14.81
5000,1,349.54,300.92,13.91
5000,3,384.58,322.91,16.03
5000,10,418.45,343.40,17.94
5000,30,445.82,359.92,19.27
5000,100,472.01,376.53,20.23
5000,300,491.75,390.84,20.52
5000,1000,508.06,405.99,20.09
6000,1,374.51,316.48,15.50
6000,3,412.50,338.94,17.83
6000,10,449.53,359.92,19.93
6000,30,479.92,377.00,21.45
6000,100,510.02,394.40,22.67
6000,300,534.75,409.67,23.39
6000,1000,558.67,426.19,23.71
7000,1,408.17,336.24,17.62
7000,3,449.85,359.01,20.19
7000,10,490.64,380.32,22.48
7000,30,524.32,397.82,24.13
7000,100,558.00,415.90,25.47
7000,300,586.16,432.04,26.29
7000,1000,614.42,449.88,26.78
8000,1,458.96,364.39,20.60
8000,3,505.99,387.38,23.44
8000,10,552.14,408.95,25.93
8000,30,590.36,426.85,27.70
8000,100,628.74,445.66,29.12
8000,300,661.02,462.78,29.99
8000,1000,693.73,,
9000,1,539.14,410.10,23.93
9000,3,593.95,433.60,27.00
9000,10,647.76,455.77,29.64
9000,30,692.38,474.42,31.48
9000,100,737.29,494.39,32.95
9000,300,775.16,,
9000,1000,813.68,,
10000,1,,,
10000,3,,,
10000,10,,,
10000,30,,,
10000,100,,,
10000,300,,,
10000,1000,,,
12000,1,,,
12000,3,,,
12000,10,,,
12000,30,,,
12000,100,,,
12000,300,,,
12000,1000,,,
