velocity,cinch,bracket,rendezvous,deployment,catch,containment,survive,joint,mult_of_0.85,closes_25t,closes_30t
mm_s,single_cinch,low,0.88,0.9,0.85,0.74,0.78,0.3886,0.457,False,False
mm_s,single_cinch,mid,0.93,0.94,0.88,0.78,0.85,0.51,0.6,True,False
mm_s,single_cinch,high,0.97,0.97,0.93,0.84,0.9,0.6615,0.778,True,True
mm_s,redundant_cinch,low,0.88,0.9,0.85,0.74,0.8,0.3985,0.469,False,False
mm_s,redundant_cinch,mid,0.93,0.94,0.88,0.78,0.88,0.528,0.621,True,False
mm_s,redundant_cinch,high,0.97,0.97,0.93,0.84,0.93,0.6836,0.804,True,True
low_m_s,single_cinch,low,0.88,0.9,0.72,0.62,0.78,0.2758,0.324,False,False
low_m_s,single_cinch,mid,0.93,0.94,0.78,0.68,0.85,0.3941,0.464,False,False
low_m_s,single_cinch,high,0.97,0.97,0.84,0.75,0.9,0.5335,0.628,True,False
low_m_s,redundant_cinch,low,0.88,0.9,0.72,0.62,0.8,0.2828,0.333,False,False
low_m_s,redundant_cinch,mid,0.93,0.94,0.78,0.68,0.88,0.408,0.48,False,False
low_m_s,redundant_cinch,high,0.97,0.97,0.84,0.75,0.93,0.5513,0.649,True,True
high_m_s,single_cinch,low,0.88,0.9,0.58,0.5,0.78,0.1792,0.211,False,False
high_m_s,single_cinch,mid,0.93,0.94,0.65,0.55,0.85,0.2656,0.313,False,False
high_m_s,single_cinch,high,0.97,0.97,0.72,0.62,0.9,0.378,0.445,False,False
high_m_s,redundant_cinch,low,0.88,0.9,0.58,0.5,0.8,0.1837,0.216,False,False
high_m_s,redundant_cinch,mid,0.93,0.94,0.65,0.55,0.88,0.275,0.324,False,False
high_m_s,redundant_cinch,high,0.97,0.97,0.72,0.62,0.93,0.3906,0.46,False,False
