scenario,delivered_fraction
a1_no_levers,0.039239683081307535
a2_aerocapture_only_no_shield,0.07152284707297951
composite_no_jupiter_no_shield,0.16280006096314126
composite_no_jupiter_central_shield_30pct_coverage,0.15733442160458339
composite_no_jupiter_central_shield_50pct_coverage,0.15369066203221124
composite_no_jupiter_central_shield_full_sphere,0.14458126310128136
composite_no_jupiter_low_sav,0.13200164895047395
composite_no_jupiter_high_sav,0.17582654923864338
composite_no_jupiter_high_tps,0.14093750352890935
composite_no_jupiter_low_tps,0.15733442160458339
composite_with_jupiter_central_shield,0.2098884616893099
composite_with_jupiter_no_shield,0.21839296575124764
campaign_mean_corrected_7p5pct_jupiter_aligned,0.15790549700649364
