power_mwe,isp_exit_s,isp_inbound_s,t_exit_month,t_inbound_year,exit_closes,inbound_closes,both_close,delivered_pct
1.0,1000,1000,5.72,0.384,yes,yes,yes,0.000
1.0,1000,2000,5.72,1.175,yes,yes,yes,0.000
1.0,1000,3000,5.72,2.079,yes,yes,yes,0.000
1.0,1000,5000,5.72,3.990,yes,yes,yes,0.000
1.0,1000,7000,5.72,5.950,yes,yes,yes,0.000
2.0,1000,1000,2.86,0.192,yes,yes,yes,0.000
2.0,1000,2000,2.86,0.587,yes,yes,yes,0.000
2.0,1000,3000,2.86,1.039,yes,yes,yes,0.000
2.0,1000,5000,2.86,1.995,yes,yes,yes,0.000
2.0,1000,7000,2.86,2.975,yes,yes,yes,0.000
2.0,1000,9000,2.86,3.964,yes,yes,yes,0.000
5.0,1000,1000,1.14,0.077,yes,yes,yes,0.000
5.0,1000,2000,1.14,0.235,yes,yes,yes,0.000
5.0,1000,3000,1.14,0.416,yes,yes,yes,0.000
5.0,1000,5000,1.14,0.798,yes,yes,yes,0.000
5.0,1000,7000,1.14,1.190,yes,yes,yes,0.000
5.0,1000,9000,1.14,1.586,yes,yes,yes,0.000
5.0,2000,1000,2.72,0.112,yes,yes,yes,0.000
5.0,2000,2000,2.72,0.343,yes,yes,yes,0.000
5.0,2000,3000,2.72,0.606,yes,yes,yes,0.000
5.0,2000,5000,2.72,1.164,yes,yes,yes,0.000
5.0,2000,7000,2.72,1.735,yes,yes,yes,1.867
5.0,2000,9000,2.72,2.312,yes,yes,yes,9.194
5.0,3000,1000,4.33,0.127,yes,yes,yes,0.000
5.0,3000,2000,4.33,0.389,yes,yes,yes,0.000
5.0,3000,3000,4.33,0.688,yes,yes,yes,0.000
5.0,3000,5000,4.33,1.320,yes,yes,yes,0.987
5.0,3000,7000,4.33,1.968,yes,yes,yes,14.456
5.0,3000,9000,4.33,2.622,yes,yes,yes,22.764
10.0,1000,1000,0.57,0.038,yes,yes,yes,0.000
10.0,1000,2000,0.57,0.117,yes,yes,yes,0.000
10.0,1000,3000,0.57,0.208,yes,yes,yes,0.000
10.0,1000,5000,0.57,0.399,yes,yes,yes,0.000
10.0,1000,7000,0.57,0.595,yes,yes,yes,0.000
10.0,1000,9000,0.57,0.793,yes,yes,yes,0.000
10.0,2000,1000,1.36,0.056,yes,yes,yes,0.000
10.0,2000,2000,1.36,0.171,yes,yes,yes,0.000
10.0,2000,3000,1.36,0.303,yes,yes,yes,0.000
10.0,2000,5000,1.36,0.582,yes,yes,yes,0.000
10.0,2000,7000,1.36,0.868,yes,yes,yes,1.867
10.0,2000,9000,1.36,1.156,yes,yes,yes,9.194
10.0,3000,1000,2.16,0.063,yes,yes,yes,0.000
10.0,3000,2000,2.16,0.194,yes,yes,yes,0.000
10.0,3000,3000,2.16,0.344,yes,yes,yes,0.000
10.0,3000,5000,2.16,0.660,yes,yes,yes,0.987
10.0,3000,7000,2.16,0.984,yes,yes,yes,14.456
10.0,3000,9000,2.16,1.311,yes,yes,yes,22.764
10.0,5000,1000,3.78,0.070,yes,yes,yes,0.000
10.0,5000,2000,3.78,0.215,yes,yes,yes,0.000
10.0,5000,3000,3.78,0.380,yes,yes,yes,0.000
10.0,5000,5000,3.78,0.730,yes,yes,yes,10.836
10.0,5000,7000,3.78,1.088,yes,yes,yes,25.731
10.0,5000,9000,3.78,1.450,yes,yes,yes,34.918
10.0,7000,1000,5.41,0.073,yes,yes,yes,0.000
10.0,7000,2000,5.41,0.224,yes,yes,yes,0.000
10.0,7000,3000,5.41,0.397,yes,yes,yes,0.000
10.0,7000,5000,5.41,0.762,yes,yes,yes,15.370
10.0,7000,7000,5.41,1.136,yes,yes,yes,30.921
10.0,7000,9000,5.41,1.514,yes,yes,yes,40.514
