n,t_launch_yr,t_exit_yr,min_premium_kms_tol2,best_perihelion_tol2,min_premium_kms_tol5,best_perihelion_tol5,min_premium_kms_tol10,best_perihelion_tol10,min_premium_kms_tol15,best_perihelion_tol15
0,0.0,6.54,inf,nan,inf,nan,inf,nan,inf,nan
1,1.0351406151716092,7.575140615171609,inf,nan,inf,nan,inf,nan,inf,nan
2,2.0702812303432183,8.610281230343219,inf,nan,inf,nan,inf,nan,inf,nan
3,3.1054218455148277,9.645421845514829,inf,nan,inf,nan,inf,nan,inf,nan
4,4.140562460686437,10.680562460686437,inf,nan,inf,nan,inf,nan,inf,nan
5,5.175703075858046,11.715703075858045,inf,nan,inf,nan,inf,nan,inf,nan
6,6.210843691029655,12.750843691029655,inf,nan,inf,nan,inf,nan,inf,nan
7,7.245984306201264,13.785984306201264,inf,nan,0.5181523945411914,0.75,0.0,1.0,0.0,1.0
8,8.281124921372873,14.821124921372874,inf,nan,inf,nan,inf,nan,0.0,1.0
9,9.316265536544483,15.856265536544484,inf,nan,inf,nan,inf,nan,inf,nan
10,10.351406151716091,16.89140615171609,inf,nan,inf,nan,inf,nan,inf,nan
11,11.386546766887701,17.9265467668877,inf,nan,inf,nan,inf,nan,inf,nan
12,12.42168738205931,18.96168738205931,inf,nan,inf,nan,inf,nan,inf,nan
13,13.456827997230919,19.99682799723092,inf,nan,inf,nan,inf,nan,inf,nan
14,14.491968612402529,21.03196861240253,inf,nan,inf,nan,inf,nan,inf,nan
15,15.527109227574137,22.067109227574136,inf,nan,inf,nan,inf,nan,inf,nan
16,16.562249842745747,23.102249842745746,inf,nan,inf,nan,inf,nan,inf,nan
17,17.597390457917356,24.137390457917355,inf,nan,inf,nan,inf,nan,inf,nan
18,18.632531073088966,25.172531073088965,inf,nan,inf,nan,inf,nan,inf,nan
19,19.667671688260572,26.20767168826057,inf,nan,inf,nan,inf,nan,inf,nan
20,20.702812303432182,27.24281230343218,inf,nan,inf,nan,inf,nan,inf,nan
21,21.737952918603792,28.27795291860379,inf,nan,inf,nan,inf,nan,inf,nan
22,22.773093533775402,29.3130935337754,inf,nan,inf,nan,inf,nan,inf,nan
23,23.80823414894701,30.34823414894701,inf,nan,inf,nan,inf,nan,inf,nan
24,24.84337476411862,31.38337476411862,inf,nan,inf,nan,inf,nan,inf,nan
25,25.878515379290228,32.41851537929023,inf,nan,inf,nan,inf,nan,inf,nan
26,26.913655994461838,33.45365599446184,inf,nan,inf,nan,0.0,1.0,0.0,1.0
27,27.948796609633447,34.48879660963345,inf,nan,inf,nan,0.0,1.0,0.0,1.0
28,28.983937224805057,35.52393722480506,inf,nan,inf,nan,inf,nan,inf,nan
29,30.019077839976667,36.559077839976666,inf,nan,inf,nan,inf,nan,inf,nan
30,31.054218455148273,37.59421845514827,inf,nan,inf,nan,inf,nan,inf,nan
31,32.08935907031989,38.629359070319886,inf,nan,inf,nan,inf,nan,inf,nan
32,33.12449968549149,39.66449968549149,inf,nan,inf,nan,inf,nan,inf,nan
33,34.1596403006631,40.6996403006631,inf,nan,inf,nan,inf,nan,inf,nan
34,35.19478091583471,41.73478091583471,inf,nan,inf,nan,inf,nan,inf,nan
35,36.22992153100632,42.76992153100632,inf,nan,inf,nan,inf,nan,inf,nan
36,37.26506214617793,43.80506214617793,inf,nan,inf,nan,inf,nan,inf,nan
37,38.30020276134954,44.84020276134954,inf,nan,inf,nan,inf,nan,inf,nan
38,39.335343376521145,45.875343376521144,inf,nan,inf,nan,inf,nan,inf,nan
39,40.37048399169276,46.91048399169276,inf,nan,inf,nan,inf,nan,inf,nan
40,41.405624606864365,47.945624606864364,inf,nan,inf,nan,inf,nan,inf,nan
41,42.44076522203598,48.98076522203598,inf,nan,inf,nan,inf,nan,inf,nan
42,43.475905837207584,50.01590583720758,inf,nan,inf,nan,inf,nan,inf,nan
43,44.51104645237919,51.05104645237919,inf,nan,inf,nan,inf,nan,inf,nan
44,45.546187067550804,52.0861870675508,inf,nan,inf,nan,inf,nan,inf,nan
45,46.58132768272241,53.12132768272241,inf,nan,inf,nan,1.0152558602004182,0.55,0.0,1.0
46,47.61646829789402,54.15646829789402,inf,nan,inf,nan,0.0,1.0,0.0,1.0
47,48.65160891306563,55.19160891306563,inf,nan,inf,nan,inf,nan,inf,nan
48,49.68674952823724,56.22674952823724,inf,nan,inf,nan,inf,nan,inf,nan
49,50.72189014340885,57.26189014340885,inf,nan,inf,nan,inf,nan,inf,nan
50,51.757030758580456,58.297030758580455,inf,nan,inf,nan,inf,nan,inf,nan
51,52.79217137375207,59.33217137375207,inf,nan,inf,nan,inf,nan,inf,nan
52,53.827311988923675,60.367311988923674,inf,nan,inf,nan,inf,nan,inf,nan
53,54.86245260409529,61.40245260409529,inf,nan,inf,nan,inf,nan,inf,nan
54,55.897593219266895,62.437593219266894,inf,nan,inf,nan,inf,nan,inf,nan
55,56.9327338344385,63.4727338344385,inf,nan,inf,nan,inf,nan,inf,nan
56,57.967874449610115,64.50787444961011,inf,nan,inf,nan,inf,nan,inf,nan
57,59.00301506478172,65.54301506478173,inf,nan,inf,nan,inf,nan,inf,nan
