tolerance_deg,budget_kms,viable_fraction,campaign_mean_deliv_frac
2.0,0.0,0.011111111111111112,0.1557
2.0,0.25,0.012404214559386974,0.15578146551724137
2.0,0.5,0.013936781609195403,0.1558780172413793
2.0,1.0,0.018151340996168584,0.15614353448275864
2.0,1.5,0.020977011494252875,0.15632155172413795
2.0,2.0,0.020977011494252875,0.15632155172413795
5.0,0.0,0.027777777777777776,0.15675
5.0,0.25,0.029070881226053637,0.1568314655172414
5.0,0.5,0.03060344827586207,0.15692801724137934
5.0,1.0,0.03481800766283524,0.1571935344827586
5.0,1.5,0.03764367816091954,0.15737155172413794
5.0,2.0,0.03764367816091954,0.15737155172413794
10.0,0.0,0.05555555555555555,0.15849999999999997
10.0,0.25,0.05684865900383142,0.15858146551724137
10.0,0.5,0.05838122605363985,0.1586780172413793
10.0,1.0,0.06259578544061303,0.1589435344827586
10.0,1.5,0.06542145593869732,0.15912155172413794
10.0,2.0,0.06542145593869732,0.15912155172413794
15.0,0.0,0.08333333333333333,0.16025
15.0,0.25,0.0846264367816092,0.16033146551724137
15.0,0.5,0.08615900383141763,0.1604280172413793
15.0,1.0,0.09037356321839081,0.16069353448275864
15.0,1.5,0.0931992337164751,0.16087155172413792
15.0,2.0,0.0931992337164751,0.16087155172413792
