tolerance_deg,budget_yr,mean_extension_per_viable_yr,duration_impact_pct
2.0,0.0,0.0,0.0
2.0,0.25,0.06729166666666667,0.5339818471267597
2.0,0.5,0.19358796296296296,1.536185135026175
2.0,1.0,0.42913194444444447,3.4053052882557395
2.0,2.0,0.922609126984127,7.32121152896086
2.0,3.0,1.4204783950617286,11.271970435151209
5.0,0.0,0.0,0.0
5.0,0.25,0.04998842592592593,0.39667485341253433
5.0,0.5,0.13027777777777777,1.03379767307513
5.0,1.0,0.3313865740740741,2.6296631321919435
5.0,2.0,0.8001198743386243,6.349218403796945
5.0,3.0,1.2865397025813694,10.209122181344569
10.0,0.0,0.0,0.0
10.0,0.25,0.024388888888888887,0.1935339780298431
10.0,0.5,0.07995370370370371,0.6344593395169686
10.0,1.0,0.24934193121693124,1.978611492220984
10.0,2.0,0.6602851080246914,5.239582835120497
10.0,3.0,1.114621373996374,8.844892831706014
15.0,0.0,0.0,0.0
15.0,0.25,0.019948412698412698,0.15829731655646295
15.0,0.5,0.06255952380952381,0.4964307132509725
15.0,1.0,0.19396604938271605,1.5391853770292951
15.0,2.0,0.5575225168350169,4.424127356349061
15.0,3.0,0.9805675366300366,7.781130864776373
