tolerance_deg,budget_yr,viable_fraction,campaign_mean_deliv_frac,mean_extension_per_viable_yr,duration_impact_pct
2.0,0.0,0.011111111111111112,0.1557,0.0,0.0
2.0,0.25,0.023659003831417627,0.1564905172413793,0.06729166666666667,0.5339818471267597
2.0,0.5,0.03625478927203065,0.15728405172413792,0.19358796296296296,1.536185135026175
2.0,1.0,0.061446360153256704,0.15887112068965517,0.42913194444444447,3.4053052882557395
2.0,2.0,0.11173371647509579,0.16203922413793104,0.922609126984127,7.32121152896086
2.0,3.0,0.1621168582375479,0.16521336206896553,1.4204783950617286,11.271970435151209
5.0,0.0,0.027777777777777776,0.15675,0.0,0.0
5.0,0.25,0.04032567049808429,0.1575405172413793,0.04998842592592593,0.39667485341253433
5.0,0.5,0.05292145593869732,0.15833405172413792,0.13027777777777777,1.03379767307513
5.0,1.0,0.07811302681992337,0.15992112068965517,0.3313865740740741,2.6296631321919435
5.0,2.0,0.12840038314176244,0.16308922413793103,0.8001198743386243,6.349218403796945
5.0,3.0,0.17878352490421456,0.1662633620689655,1.2865397025813694,10.209122181344569
10.0,0.0,0.05555555555555555,0.15849999999999997,0.0,0.0
10.0,0.25,0.06810344827586207,0.15929051724137933,0.024388888888888887,0.1935339780298431
10.0,0.5,0.0806992337164751,0.16008405172413792,0.07995370370370371,0.6344593395169686
10.0,1.0,0.10589080459770114,0.16167112068965517,0.24934193121693124,1.978611492220984
10.0,2.0,0.15617816091954023,0.16483922413793103,0.6602851080246914,5.239582835120497
10.0,3.0,0.20656130268199233,0.1680133620689655,1.114621373996374,8.844892831706014
15.0,0.0,0.08333333333333333,0.16025,0.0,0.0
15.0,0.25,0.09588122605363986,0.1610405172413793,0.019948412698412698,0.15829731655646295
15.0,0.5,0.10847701149425287,0.16183405172413792,0.06255952380952381,0.4964307132509725
15.0,1.0,0.13366858237547893,0.16342112068965517,0.19396604938271605,1.5391853770292951
15.0,2.0,0.183955938697318,0.16658922413793104,0.5575225168350169,4.424127356349061
15.0,3.0,0.23433908045977012,0.16976336206896553,0.9805675366300366,7.781130864776373
