moon,v_inf_saturn_in_kms,v_sc_at_moon_kms,v_inf_moon_kms,flyby_altitude_km,periapsis_km,soi_km,in_soi,turn_deg,v_sc_after_kms,v_inf_saturn_after_kms,dv_capture_saving_kms,bound_after
Mimas,5.44,21.11062549188163,6.530983986559157,50,248,244.70973646570118,False,0.02710827061072816,21.110624987042833,5.439998040907239,5.743770152832894e-07,False
Enceladus,5.44,18.691409979100328,6.018259389078452,200,452,486.16244495540275,True,0.050451797933458255,18.69140839715504,5.439994564558549,1.5935905572916909e-06,False
Tethys,5.44,16.936567530662348,5.584590441663069,200,733,1213.5771220774513,True,0.2061990502510265,16.936543290510322,5.439924531704836,2.212605106421961e-05,False
Dione,5.44,15.173423449927657,5.168409721410487,200,761,1957.1189640455837,True,0.4106843906955981,15.173335904882407,5.439755811760223,7.159092261588285e-05,False
Rhea,5.44,13.176162090850069,4.685920798150789,200,964,3672.424520707412,True,0.827358968034256,13.175847289644684,5.439237479250444,0.0002235455187928892,False
Titan,5.44,9.610679829654211,3.9796697725231507,200,2775,42848.890239149114,True,19.532550294907654,9.4755423362944,5.1975317006041655,0.06963454821704218,False
Hyperion,5.44,9.270715932217803,3.7333135201253755,200,335,843.4473885148975,True,0.009146261686277841,9.27071590380597,5.439999951581245,1.4195663311511453e-08,False
Iapetus,5.44,7.134322254477421,3.870086129297581,200,935,22508.2751380948,True,0.9776222951199237,7.134064495548865,5.43966195603358,9.9106691767048e-05,False
Phoebe,5.44,6.041241377927445,4.047632790721785,200,307,8063.86331237109,True,0.01260220237788001,6.041241345617782,5.439999964119399,1.0519663362629217e-08,False
