initial_apoapsis_titan_radii,n_flybys,n_flybys_useful,initial_burn_kms,total_pumping_days,dv_trim_kms,total_propulsive_kms,r_p_final_km,r_a_final_km
2.0,1,1,1.6388992062759762,12.23525661801383,0.3070025430158425,1.9459017492918187,141918.67801245235,1906066.7252227394
2.0,2,2,1.6388992062759762,21.489241295539138,0.0,1.6388992062759762,76350.52603202632,1623734.5408026048
2.0,3,3,1.6388992062759762,29.04649707585727,0.0,1.6388992062759762,37245.96783241748,1448099.7535381354
2.0,4,4,1.6388992062759762,35.59015343109862,0.0,1.6388992062759762,16364.938736877777,1333007.362975041
2.0,5,5,1.6388992062759762,41.53687530644359,0.0,1.6388992062759762,6683.448653738488,1259324.8527883883
2.0,6,6,1.6388992062759762,47.17641435978198,0.0,1.6388992062759762,3028.6141422141272,1218997.6525297556
2.0,8,7,1.6388992062759762,52.74147238496513,0.0,1.6388992062759762,2323.392937861684,1208919.5690076232
2.0,10,7,1.6388992062759762,52.74147238496513,0.0,1.6388992062759762,2323.392937861684,1208919.5690076232
2.0,12,7,1.6388992062759762,52.74147238496513,0.0,1.6388992062759762,2323.392937861684,1208919.5690076232
2.0,15,7,1.6388992062759762,52.74147238496513,0.0,1.6388992062759762,2323.392937861684,1208919.5690076232
2.0,20,7,1.6388992062759762,52.74147238496513,0.0,1.6388992062759762,2323.392937861684,1208919.5690076232
3.0,1,1,1.377264874828107,19.05655136344588,0.2659227005599024,1.6431875753880094,150767.2600057624,2601016.7438244363
3.0,2,2,1.377264874828107,32.39668924920823,0.0,1.377264874828107,85345.67008133,2084147.801592187
3.0,3,3,1.377264874828107,42.642902295011034,0.0,1.377264874828107,42388.90090286631,1777145.9977303492
3.0,4,4,1.377264874828107,51.03388037119434,0.0,1.377264874828107,17163.790181683184,1575508.8741870418
3.0,5,5,1.377264874828107,58.247208916799366,0.0,1.377264874828107,4646.019728831731,1435285.8508426026
3.0,6,6,1.377264874828107,64.69672213364109,0.0,1.377264874828107,315.6337951845732,1336083.2163874835
3.0,8,8,1.377264874828107,76.34378642440154,0.0,1.377264874828107,1918.1080585910006,1226423.6705182076
3.0,10,9,1.377264874828107,81.91464131286072,0.0,1.377264874828107,2919.6182163732456,1209164.3282432107
3.0,12,9,1.377264874828107,81.91464131286072,0.0,1.377264874828107,2919.6182163732456,1209164.3282432107
3.0,15,9,1.377264874828107,81.91464131286072,0.0,1.377264874828107,2919.6182163732456,1209164.3282432107
3.0,20,9,1.377264874828107,81.91464131286072,0.0,1.377264874828107,2919.6182163732456,1209164.3282432107
4.0,1,1,1.2418115970396606,25.63653865514157,0.2330723275150688,1.4748839245547294,155115.21254331077,3198328.8050979334
4.0,2,2,1.2418115970396606,42.541413652651215,0.0,1.2418115970396606,90513.6988662773,2450026.733711254
4.0,3,3,1.2418115970396606,55.01714446718505,0.0,1.2418115970396606,46338.85939352166,2028393.746633562
4.0,4,4,1.2418115970396606,64.92265931161552,0.0,1.2418115970396606,19238.148777601626,1759735.4545947046
4.0,5,5,1.2418115970396606,73.2133711084868,0.0,1.2418115970396606,5167.74422293416,1574791.972591503
4.0,6,6,1.2418115970396606,80.4427752838904,0.0,1.2418115970396606,231.16626911926946,1441839.266010064
4.0,8,8,1.2418115970396606,93.0172645842959,0.0,1.2418115970396606,4392.649415486122,1276836.6557126942
4.0,10,10,1.2418115970396606,104.42488421073416,0.0,1.2418115970396606,10443.243242206254,1211185.9741931134
4.0,12,10,1.2418115970396606,104.42488421073416,0.0,1.2418115970396606,10443.243242206254,1211185.9741931134
4.0,15,10,1.2418115970396606,104.42488421073416,0.0,1.2418115970396606,10443.243242206254,1211185.9741931134
4.0,20,10,1.2418115970396606,104.42488421073416,0.0,1.2418115970396606,10443.243242206254,1211185.9741931134
