r_p_km,ring_zone,tau,soi_dv_kms,p_impact_inc_0p5deg,p_impact_inc_10deg,p_impact_inc_26p7deg
61555.0,Below D-ring (sub-rings),0.0,0.713256426000008,0.0,0.0,0.0
64250.0,Below D-ring (sub-rings),0.0,0.7284276575313768,0.0,0.0,0.0
67075.0,D-ring,0.0005,0.7439748480386115,0.055685967623190336,0.0028752437877876957,0.001112176217603289
70750.0,D-ring,0.0005,0.7636909702672767,0.055685967623190336,0.0028752437877876957,0.001112176217603289
74675.0,C-ring,0.1,0.784158083835159,0.9999894491206206,0.4377884341928121,0.19953224537849323
83250.0,C-ring,0.1,0.8269669588001065,0.9999894491206206,0.4377884341928121,0.19953224537849323
92255.8,B-ring,2.0,0.8694570515380242,1.0,0.9999900460486626,0.9883352123543536
104790.0,B-ring,2.0,0.9250289812792332,1.0,0.9999900460486626,0.9883352123543536
117625.9,Cassini Division,0.1,0.9783079373300154,0.9999894491206206,0.4377884341928121,0.19953224537849323
119875.0,Cassini Division,0.1,0.9873100132064572,0.9999894491206206,0.4377884341928121,0.19953224537849323
122316.1,A-ring,0.6,0.9969761311812562,1.0,0.9684209795879286,0.7369350116725981
129472.5,A-ring,0.6,1.0247158177109128,1.0,0.9684209795879286,0.7369350116725981
133214.0,A-ring,0.6,1.0388815580721449,1.0,0.9684209795879286,0.7369350116725981
133410.0,A-ring,0.6,1.0396175181817071,1.0,0.9684209795879286,0.7369350116725981
136407.0,A-ring,0.6,1.0507969885146942,1.0,0.9684209795879286,0.7369350116725981
136505.0,A-ring,0.6,1.0511602335341657,1.0,0.9684209795879286,0.7369350116725981
139710.0,F-ring,0.1,1.06296076972421,0.9999894491206206,0.4377884341928121,0.19953224537849323
140200.0,F-ring,0.1,1.0647515656056328,0.9999894491206206,0.4377884341928121,0.19953224537849323
140953.0,F-G gap,1e-05,1.0674967528183643,0.001145273807589997,5.758604669137135e-05,2.2255655229619364e-05
153350.0,F-G gap,1e-05,1.111562172946062,0.001145273807589997,5.758604669137135e-05,2.2255655229619364e-05
166090.0,G-ring,1e-06,1.1548040606431975,0.00011458644795159234,5.75875390140812e-06,2.2255878123766948e-06
170500.0,G-ring,1e-06,1.1693322178482148,0.00011458644795159234,5.75875390140812e-06,2.2255878123766948e-06
183000.0,E-ring (diffuse),1e-06,1.2093824291273307,0.00011458644795159234,5.75875390140812e-06,2.2255878123766948e-06
330000.0,E-ring (diffuse),1e-06,1.5925954774673396,0.00011458644795159234,5.75875390140812e-06,2.2255878123766948e-06
